a0,rho_peak,r_at_rho_peak,min_rho_plus_pr_over_peak,min_rho_plus_pt_over_peak,min_rho_minus_abs_pr_over_peak,min_rho_minus_abs_pt_over_peak,max_abs_anisotropy_over_peak,r_at_max_abs_anisotropy
0.02,0.002135515430985847,6.158894033135155,1.1645910230119579e-10,1.0361450728162773e-10,1.1473648740986175e-10,1.0361450728162773e-10,0.02928469085464053,4.884169263547049
0.025,0.002872586289529164,5.650610967578751,1.222531001486463e-10,1.0687311994055123e-10,1.2017189919253327e-10,1.0687311994055123e-10,0.034048031297837886,4.481087068494518
0.03,0.003660241346955884,5.2534312985048155,1.0677775707439701e-10,9.183111442477179e-11,1.0475175962891045e-10,9.183111442477179e-11,0.03851205878190171,4.193807750366267
0.034999999999999996,0.004493000786990679,4.949321652008005,1.0294583071474873e-10,8.720839406223967e-11,1.0080212796684443e-10,8.720839406223967e-11,0.04273858109978555,3.951037393247024
0.039999999999999994,0.00536657347468964,4.693813044390057,1.2397311849911894e-10,1.0357523877345987e-10,1.2115888774009e-10,1.0357523877345987e-10,0.04677336224199146,3.771974384701599
0.045,0.006277759731666983,4.481087068494518,1.1729092269469522e-10,9.669109561070937e-11,1.1443853877485908e-10,9.669109561070937e-11,0.050645585245524836,3.601026602067258
0.049999999999999996,0.00722394880768177,4.278001941178321,1.0354374911237538e-10,8.427417230137877e-11,1.008733398500798e-10,8.427417230137877e-11,0.05437755887508157,3.4606797442772694
0.05499999999999999,0.008203183774519292,4.111270562487818,1.0194294268520296e-10,8.19804711313084e-11,9.916367852530287e-11,8.19804711313084e-11,0.05798618945730604,3.3258027823442537
0.06,0.009213631264583477,3.977302529195464,1.0970840248130783e-10,8.723220212247374e-11,1.0655490811567419e-10,8.723220212247374e-11,0.061486088118868305,3.2174296526518873
0.06499999999999999,0.010253847315806683,3.8222906467138578,1.0406456650390735e-10,8.18371818215285e-11,1.0093691011135139e-10,8.18371818215285e-11,0.06488707009346016,3.1125879215444487
0.06999999999999999,0.011322702803637976,3.722320481064694,1.052155838064164e-10,8.188055569531449e-11,1.0191524718258558e-10,8.188055569531449e-11,0.06819862758383753,3.031179687876523
0.075,0.012419281526643804,3.601026602067258,1.1231953109708288e-10,8.654303927037052e-11,1.0864835915212959e-10,8.654303927037052e-11,0.07142585630704106,2.951900647238962
0.08,0.01354209681750107,3.5068434906324413,1.0318675978758998e-10,7.872733122582027e-11,9.969864286319644e-11,7.872733122582027e-11,0.07458077538554388,2.8746951116164787
0.08499999999999999,0.014690950001849376,3.392571048971527,1.2029455738972143e-10,9.095345734321263e-11,1.1606816963798409e-10,9.095345734321263e-11,0.07766500090708714,2.799508849486927
0.09,0.01586485251328873,3.3038399918412042,1.1955305383585026e-10,8.95819764652731e-11,1.1521865723761541e-10,8.95819764652731e-11,0.08068220406864317,2.726289047727446
0.09499999999999999,0.017063374079595368,3.238818016977641,1.22759165258416e-10,9.119338406917378e-11,1.181707709212556e-10,9.119338406917378e-11,0.0836382654575454,2.672633695661394
0.09999999999999999,0.018285958082048276,3.154108296134429,1.0700236864307624e-10,7.880162504629481e-11,1.0290754777156441e-10,7.880162504629481e-11,0.08653395228690833,2.6200343199628215
0.105,0.019531500945468967,3.0920331499848914,1.1618879860186205e-10,8.488878014410128e-11,1.1161203395467116e-10,8.488878014410128e-11,0.08937720837016311,2.568470138248514
0.10999999999999999,0.02080078983316626,3.0111625164388927,1.0662705845468229e-10,7.727874476164251e-11,1.0233286087052008e-10,7.727874476164251e-11,0.09216604963754987,2.517920777147665
0.11499999999999999,0.022092418733418703,2.951900647238962,1.210789025974714e-10,8.711024518658522e-11,1.1606614534534188e-10,8.711024518658522e-11,0.09490757428299998,2.468366264252233
0.12,0.023406274579897628,2.893805094742928,1.1590182132886048e-10,8.276447131418345e-11,1.1100161569540631e-10,8.276447131418345e-11,0.09760204556679763,2.419787020225694
