ell,a0,omega,adm_mass,noether_charge,r99,compactness99,r999,compactness999,max_ode_residual,tail_residual,solver_status
1,0.02,0.9302455608153921,0.9793150743002542,1.0000186035486622,19.173628912539606,0.051076146240620075,23.524084298155117,0.0416303164827996,6.794884701247228e-06,4.712126203164753e-26,0
1,0.025,0.9205266874772723,1.0222457145775716,1.04640473111915,17.639021219905295,0.05795365297389557,21.668060996391542,0.04717753539404425,7.745762146682544e-06,7.666060812450741e-27,0
1,0.03,0.9117745050794988,1.055173126765546,1.0823419071490001,16.462508122036628,0.0640955265712578,20.24705959018666,0.05211488226552003,8.560977070665166e-06,1.6437564908499394e-24,0
1,0.034999999999999996,0.90378669098703,1.0810264647135175,1.110818955021479,15.51844467007909,0.06966074807727546,19.107053457696786,0.05657735072060804,9.335967142448665e-06,1.2633431308089808e-24,0
1,0.039999999999999994,0.8964257997489705,1.1016306771580202,1.1337078784693335,14.736484038150149,0.07475532659663549,18.164805662131332,0.06064643341902742,1.004727685419149e-05,1.4087738599581502e-26,0
1,0.045,0.8895928593378905,1.1182023862817285,1.152263561381486,14.073391073201359,0.07945507805940365,17.366574784583204,0.06438819399634223,1.0709070077163929e-05,1.0210965748148003e-27,0
1,0.049999999999999996,0.8832134904993753,1.131593931051438,1.1673701533496277,13.500859871457802,0.08381643405126686,16.677432516651642,0.06785180692061527,1.1320874137521475e-05,1.9359275288613347e-27,0
1,0.05499999999999999,0.8772299323130323,1.1424255849369531,1.1796748373826984,12.998845096658004,0.08788669889070916,16.073897242072075,0.07107334131431114,1.1896962746477113e-05,2.9396325049317423e-28,0
1,0.06,0.8715961499359842,1.1511625213361247,1.1896658652691658,12.553868901067977,0.09169782880544447,15.539543485970581,0.07407955853886042,1.2440128459162425e-05,5.380226887791706e-29,0
1,0.06499999999999999,0.866274672702365,1.1581622118863986,1.1977207254441686,12.15514372108793,0.09528165511339086,15.060477383249768,0.07690076366201407,1.2947352688585934e-05,2.240957272459452e-30,0
1,0.06999999999999999,0.8612344653259777,1.1637049577393954,1.2041372420670273,11.794612684163974,0.09866410953043357,14.629586626284972,0.07954462333532837,1.3421658282219973e-05,2.7612401720380997e-30,0
1,0.075,0.856449442046712,1.168014313393087,1.209154431290107,11.467216399396522,0.10185683017672495,14.237240618087515,0.08203937439318111,1.3880786144337964e-05,1.2953424846564747e-29,0
1,0.08,0.8518974042897961,1.1712711611128774,1.2129669121348114,11.167334431652513,0.1048836826980882,13.87836704952214,0.08439545927366193,1.430862025994517e-05,8.93722776109433e-15,0
1,0.08499999999999999,0.8475592448312831,1.1736237287738478,1.2157351837260186,10.891098835739509,0.10775990067435269,13.547652333904553,0.086629306676015,1.472037882188637e-05,1.3226741493619064e-28,0
1,0.09,0.8434183825189111,1.1751947473144775,1.2175930035308633,10.636322380061557,0.1104888236104476,13.2436090730788,0.08873674395172063,1.5108632364535524e-05,1.8784821483571714e-30,0
1,0.09499999999999999,0.8394602893464029,1.1760868676827,1.218652967988135,10.398918786601342,0.11309703362603894,12.960628874961973,0.09074304025128957,1.5480781170751357e-05,7.279637717827232e-31,0
1,0.09999999999999999,0.8356721511964463,1.1763866475517766,1.2190106458442234,10.178176588704728,0.11557931200145184,12.697043244944167,0.09265044033146864,1.5830475412481615e-05,2.8442100491145964e-31,0
1,0.105,0.8320425905764138,1.1761676272409647,1.2187477692813602,9.971622490563691,0.11795147964676674,12.450966045056274,0.09446396552562832,1.6161879789144962e-05,1.1694869629699877e-31,0
1,0.10999999999999999,0.8285614452088413,1.1754927112178868,1.2179347145268433,9.777702147158463,0.12022177537485139,12.22041105107934,0.09619093059182032,1.6482477557699937e-05,4.98094885918801e-32,0
1,0.11499999999999999,0.8252195904006622,1.174416031581179,1.2166324494647645,9.59509264358859,0.12239757084220755,12.003390042808032,0.097840362380363,1.6791103002844476e-05,2.2111415399349383e-32,0
1,0.12,0.8220087936165436,1.1729844271833743,1.2148940825987677,9.423154652562229,0.12447895322023933,11.79866097735494,0.09941674139418637,1.7084456405525028e-05,1.0886627446526881e-32,0
