a0,r,rho,pressure_r,pressure_t,anisotropy
0.039999999999999994,1e-05,0.000800000000058653,-0.0002666666666613466,-0.0002666666666613182,2.8406096919120216e-17
0.039999999999999994,1.047471957729e-05,0.0008000000000638396,-0.0002666666666612991,-0.0002666666666603065,9.926412990191036e-16
0.039999999999999994,1.1044912933751135e-05,0.0008000000000703874,-0.00026666666666113736,-0.00026666666665908014,2.0572194121826204e-15
0.039999999999999994,1.1569236573662653e-05,0.0008000000000767144,-0.0002666666666609037,-0.00026666666665793354,2.9701718515240394e-15
0.039999999999999994,1.2199010171414309e-05,0.0008000000000847019,-0.0002666666666605341,-0.00026666666665652364,4.010463836023881e-15
0.039999999999999994,1.2778121066607328e-05,0.0008000000000924206,-0.00026666666666011935,-0.00026666666665518997,4.92937938731397e-15
0.039999999999999994,1.347370052212158e-05,0.0008000000001021645,-0.00026666666665954016,-0.00026666666665353406,6.006100564809325e-15
0.039999999999999994,1.4113323463760912e-05,0.0008000000001115804,-0.000266666666658938,-0.00026666666665195525,6.982749881784267e-15
0.039999999999999994,1.4881584916227004e-05,0.000800000000123467,-0.0002666666666581363,-0.0002666666666499828,8.153471387634115e-15
0.039999999999999994,1.5588042886310657e-05,0.0008000000001349533,-0.00026666666665733,-0.00026666666664809256,9.237456719685122e-15
0.039999999999999994,1.6436580971595142e-05,0.0008000000001494541,-0.00026666666665628165,-0.0002666666666457217,1.055996652968294e-14
0.039999999999999994,1.7216857648687992e-05,0.0008000000001634663,-0.0002666666666552451,-0.0002666666666434422,1.1802895900220323e-14
0.039999999999999994,1.8154060575981896e-05,0.0008000000001811556,-0.00026666666665391364,-0.00026666666664057617,1.3337475655156306e-14
0.039999999999999994,1.9015869372254613e-05,0.000800000000198249,-0.0002666666666526098,-0.0002666666666378152,1.47945891648682e-14
0.039999999999999994,2.005100184557644e-05,0.0008000000002198281,-0.00026666666665094645,-0.0002666666666343384,1.6608025718567454e-14
0.039999999999999994,2.1002862157613703e-05,0.0008000000002406806,-0.0002666666666493269,-0.0002666666666309848,1.834209867324077e-14
0.039999999999999994,2.214615696188751e-05,0.0008000000002670052,-0.00026666666664726944,-0.00026666666662675774,2.0511695640601513e-14
0.039999999999999994,2.3197478389041985e-05,0.0008000000002924432,-0.00026666666664527125,-0.00026666666662267794,2.2593309601665057e-14
0.039999999999999994,2.446023754612341e-05,0.0008000000003245563,-0.00026666666664274,-0.00026666666661753194,2.5208079981048348e-14
0.039999999999999994,2.5621412908954276e-05,0.0008000000003555881,-0.00026666666664028685,-0.00026666666661256277,2.772407954251821e-14
0.039999999999999994,2.7016119403580353e-05,0.0008000000003947631,-0.000266666666637183,-0.0002666666666062932,3.088978725585001e-14
0.039999999999999994,2.8298627481908734e-05,0.0008000000004326189,-0.00026666666663417834,-0.0002666666666002375,3.394084058944147e-14
0.039999999999999994,2.983906866203702e-05,0.0008000000004804086,-0.0002666666666303799,-0.0002666666665925951,3.7784770971771575e-14
0.039999999999999994,3.1255587668233905e-05,0.0008000000005265886,-0.0002666666666267056,-0.0002666666665852119,4.149366397351861e-14
0.039999999999999994,3.295699153964209e-05,0.0008000000005848871,-0.00026666666662206336,-0.00026666666657589337,4.6169990573774466e-14
0.039999999999999994,3.4751011655043805e-05,0.0008000000006497056,-0.00026666666661689833,-0.00026666666656553447,5.1363861081066275e-14
