a0,omega,adm_mass,noether_charge,binding_mass_minus_charge,alpha_center,central_redshift,r99,max_two_m_over_r,surface_redshift_99,exterior_kretschmann_99,max_ode_residual,tail_residual
0.02,0.9302455608153921,0.9793150743002542,1.0000186035486622,-0.020703529248408015,0.8792256138109231,0.13736449927293548,19.173628912539606,0.12654412783117977,0.055355216011371944,9.265315446415222e-07,6.794884701247228e-06,4.712126203164753e-26
0.025,0.9205266874772723,1.0222457145775716,1.04640473111915,-0.02415901654157837,0.8619174637928018,0.16020389655359413,17.639021219905295,0.14377599203777808,0.0635333162547087,1.6653477645992248e-06,7.745762146682544e-06,7.666060812450741e-27
0.03,0.9117745050794988,1.055173126765546,1.0823419071490001,-0.02716878038345416,0.8462018245066645,0.18175117452978773,16.462508122036628,0.1592283681253414,0.07099967537343121,2.684804505901226e-06,8.560977070665166e-06,1.6437564908499394e-24
0.034999999999999996,0.90378669098703,1.0810264647135175,1.110818955021479,-0.029792490307961605,0.8317422738251234,0.20229550844045874,15.51844467007909,0.17327845641146838,0.0779026059490644,4.016286975664588e-06,9.335967142448665e-06,1.2633431308089808e-24
0.039999999999999994,0.8964257997489705,1.1016306771580202,1.1337078784693335,-0.03207720131131331,0.818310706607638,0.22202971551669792,14.736484038150149,0.18618932194454307,0.0843402055230349,5.687874582809512e-06,1.004727685419149e-05,1.4087738599581502e-26
0.045,0.8895928593378905,1.1182023862817285,1.152263561381486,-0.03406117509975748,0.8057431547471383,0.24109028306151004,14.073391073201359,0.19814921877997901,0.09038233135152307,7.724840667388171e-06,1.0709070077163929e-05,1.0210965748148003e-27
0.049999999999999996,0.8832134904993753,1.131593931051438,1.1673701533496277,-0.035776222298189664,0.7939165863603195,0.25957816876513706,13.500859871457802,0.20929319105672411,0.0960807201599354,1.0149715726268964e-05,1.1320874137521475e-05,1.9359275288613347e-27
0.05499999999999999,0.8772299323130323,1.1424255849369531,1.1796748373826984,-0.037249252445745284,0.7827355954714638,0.2775706199967458,12.998845096658004,0.21973158937965412,0.1014801785018955,1.2985792774542941e-05,1.1896962746477113e-05,2.9396325049317423e-28
0.06,0.8715961499359842,1.1511625213361247,1.1896658652691658,-0.03850334393304111,0.7721242450795276,0.29512835061538767,12.553868901067977,0.22955010327274528,0.10660889682411323,1.624983616250708e-05,1.2440128459162425e-05,5.380226887791706e-29
0.06499999999999999,0.866274672702365,1.1581622118863986,1.1977207254441686,-0.03955851355777007,0.7620208015393792,0.3123001340381686,12.15514372108793,0.23882110978823046,0.1114976709262725,1.9962706859283487e-05,1.2947352688585934e-05,2.240957272459452e-30
0.06999999999999999,0.8612344653259777,1.1637049577393954,1.2041372420670273,-0.04043228432763191,0.7523741916484704,0.32912586728815785,11.794612684163974,0.24759797604149827,0.1161716884458528,2.4144871748336218e-05,1.3421658282219973e-05,2.7612401720380997e-30
0.075,0.856449442046712,1.168014313393087,1.209154431290107,-0.0411401178970201,0.7431415337119628,0.3456386901227808,11.467216399396522,0.255936257633437,0.12063805753920454,2.879980304920811e-05,1.3880786144337964e-05,1.2953424846564747e-29
0.08,0.8518974042897961,1.1712711611128774,1.2129669121348114,-0.04169575102193401,0.7342863705704268,0.36186648708072156,11.167334431652513,0.26386810330043453,0.12492228283313311,3.395150295131656e-05,1.430862025994517e-05,8.93722776109433e-15
0.08499999999999999,0.8475592448312831,1.1736237287738478,1.2157351837260186,-0.042111454952170835,0.7257773592221382,0.37783300525076147,10.891098835739509,0.2714362830148409,0.12903916428789364,3.961583418403818e-05,1.472037882188637e-05,1.3226741493619064e-28
0.09,0.8434183825189111,1.1751947473144775,1.2175930035308633,-0.04239825621638582,0.7175873144168678,0.3935586372685933,10.636322380061557,0.2786723429849811,0.13298729644172202,4.578381398526532e-05,1.5108632364535524e-05,1.8784821483571714e-30
0.09499999999999999,0.8394602893464029,1.1760868676827,1.218652967988135,-0.04256610030543495,0.7096924439562918,0.40906107781751655,10.398918786601342,0.2855989334611791,0.1367997579261213,5.2503822109170245e-05,1.5480781170751357e-05,7.279637717827232e-31
0.09999999999999999,0.8356721511964463,1.1763866475517766,1.2190106458442234,-0.042623998292446785,0.7020717783128163,0.42435578653104367,10.178176588704728,0.2922338967267764,0.1404641194962435,5.9747745344487785e-05,1.5830475412481615e-05,2.8442100491145964e-31
0.105,0.8320425905764138,1.1761676272409647,1.2187477692813602,-0.04258014204039551,0.6947067128849137,0.439456365474421,9.971622490563691,0.2986129342439175,0.1439992537317678,6.754367865842533e-05,1.6161879789144962e-05,1.1694869629699877e-31
0.10999999999999999,0.8285614452088413,1.1754927112178868,1.2179347145268433,-0.04244200330895653,0.6875806428541145,0.4543748582697844,9.777702147158463,0.304743085694573,0.14741354462640532,7.590323707449191e-05,1.6482477557699937e-05,4.98094885918801e-32
0.11499999999999999,0.8252195904006622,1.174416031581179,1.2166324494647645,-0.042216417883585544,0.6806786693012629,0.46912198824524665,9.59509264358859,0.31064258817366236,0.15071457101859864,8.483794601370754e-05,1.6791103002844476e-05,2.2111415399349383e-32
0.12,0.8220087936165436,1.1729844271833743,1.2148940825987677,-0.04190965541539349,0.6739873591308089,0.4837073521521609,9.423154652562229,0.3163281184467699,0.15389916938794124,9.432956186311252e-05,1.7084456405525028e-05,1.0886627446526881e-32
