a0,endpoint,ivp_success,ivp_function_evaluations,mass_scaled_max_difference,alpha_scaled_max_difference,psi_scaled_max_difference,dpsi_scaled_max_difference
0.04,10.0,True,875,1.9210579086000666e-05,6.839454473689208e-07,1.2383549592634083e-05,2.5293180922945045e-05
0.04,15.0,True,995,1.686147380392603e-05,9.958612793738334e-07,1.6777034121813653e-05,2.5592919080351384e-05
0.04,20.0,True,1082,1.6700608920642593e-05,9.737260119486825e-07,1.654306363074494e-05,2.5428737397779205e-05
0.08,10.0,True,980,1.6723748429544894e-05,1.5922249890038787e-06,1.7011540229154224e-05,2.713995896652145e-05
0.08,15.0,True,1112,1.650707348950341e-05,1.5210455457156273e-06,1.656681410651872e-05,2.7039416391279495e-05
0.08,20.0,True,1202,1.640519480995479e-05,1.4863936811487613e-06,1.6624517951554434e-05,2.7188008112498555e-05
0.1,10.0,True,1013,1.653388397757445e-05,1.816677986521341e-06,1.6436430603560306e-05,2.7852027829119302e-05
0.1,15.0,True,1145,1.5911623158325628e-05,1.6988548938084363e-06,1.700217668705919e-05,2.7758739642204378e-05
0.1,20.0,True,1235,1.6046803749448377e-05,1.6699935651443293e-06,1.682127124817602e-05,2.7410751990801507e-05
