a0,omega,adm_mass,sigma2_ground,signed_sigma_ground,scaled_generalized_residual,unscaled_generalized_residual,eigenvalue_condition_number,node_count
0.099,0.8364167473781611,1.1763703820631284,1.8313748577493835e-05,0.004279456575021393,1.5661547116847344e-09,2.3536895085169074e-08,70.3883559034473,0
0.09925,0.8362299993330038,1.1763764205059228,1.4769653783984223e-05,0.003843130726892363,1.934982058195522e-09,3.788436472133046e-08,70.2378475382086,0
0.0995,0.8360436515345805,1.1763811384580984,1.1209839465780152e-05,0.0033481098347844193,2.262585143847556e-09,5.120304080329032e-08,70.08680842765008,0
0.09975,0.8358577026237101,1.1763845445492664,7.634326665613984e-06,0.0027630285314513103,3.475566487988713e-09,6.119162375967173e-08,69.93524643064205,0
0.1,0.8356721511964457,1.176386647551785,4.042456870374332e-06,0.0020105862006823613,6.494597709729618e-09,1.6150896524023924e-07,69.7874209130874,0
0.10025,0.8354869960141028,1.1763874555394978,4.3561558789505454e-07,0.0006600118089057608,5.807785059534059e-08,8.914140453431369e-07,69.63485010745596,0
0.1005,0.8353022356713856,1.1763869771600786,-3.1868721448719663e-06,-0.001785181263869853,6.228561312041775e-09,1.5326077027232548e-07,69.48177894075074,0
0.10074999999999999,0.8351178688712668,1.1763852207676528,-6.824963811623571e-06,-0.0026124631694291064,3.6912201283488333e-09,4.433101395878906e-08,69.32821662605458,0
0.10099999999999999,0.8349338942767186,1.176382194666314,-1.0478649255452429e-05,-0.0032370741813329564,2.7176533645394883e-09,6.693436973251699e-08,69.17417012996552,0
0.10124999999999999,0.834750310571325,1.1763779070811247,-1.414836748935008e-05,-0.0037614315744607238,1.7676776984387067e-09,1.0471514431149222e-08,69.01961569420092,0
0.10149999999999999,0.834567116311769,1.1763723664939574,-1.783338693840788e-05,-0.004222959499972487,1.3241017732606736e-09,1.1720422651902156e-08,68.86461247811474,0
0.10175,0.8343843104775042,1.1763655804290303,-2.1533735083997878e-05,-0.004640445569554488,1.1137586264873252e-09,1.1922894930117965e-08,68.70915908526028,0
0.102,0.8342018917701731,1.1763575567449511,-2.5249556534614686e-05,-0.0050248936839116,9.850768390979391e-10,1.7593514674535924e-08,68.5532544889569,0
