a0,omega,adm_mass,sigma2,node_count,points,r_max
0.05,0.8832134904993753,1.131593931051438,0.0003804414979899753,0,80,40.0
0.055,0.8772299323130325,1.1424255849369533,0.0003762966785949127,0,80,40.0
0.060000000000000005,0.8715961499359841,1.1511625213361247,0.00036420725091662343,0,80,40.0
0.065,0.866274672702365,1.1581622118863986,0.0003443260270280167,0,80,40.0
0.07,0.8612344653259779,1.1637049577393954,0.00031687902963075304,0,80,40.0
0.07500000000000001,0.856449442046712,1.1680143133930867,0.00028205253267988526,0,80,40.0
0.08,0.8518974042897961,1.1712711611128774,0.00024004147098238092,0,80,40.0
0.085,0.8475592448312833,1.1736237287738478,0.00019107157635100678,0,80,40.0
0.09,0.8434183825189111,1.1751947473144775,0.00013529737079585522,0,80,40.0
0.095,0.8394602893464032,1.1760868676827,7.290676647224179e-05,0,80,40.0
0.1,0.8356721511964462,1.1763866475517764,4.06759682393794e-06,0,80,40.0
0.10500000000000001,0.8320425905764136,1.1761676272409647,-7.101258548916239e-05,0,80,40.0
0.11,0.8285614452088411,1.1754927112178868,-0.0001521928908442626,0,80,40.0
