rtol,atol,sigma_real,sigma_imag,relative_residual,converged,iterations,evaluations,elapsed_seconds,delta_real_vs_2e-8,delta_imag_vs_2e-8
1e-07,1e-09,0.0493977307816074,-5.965193391263185e-07,1.587153353133952e-10,True,3,12,4.953319399995962,-3.7229871963084804e-12,1.2700470244646103e-15
5e-08,5e-10,0.04939773075164218,-5.965193373684101e-07,3.298049387735437e-08,True,3,12,5.436574599996675,-3.3688205003379323e-11,3.027955486273662e-15
2e-08,2e-10,0.049397730785330385,-5.965193403963656e-07,4.1416514301266e-09,True,3,12,7.4082975999917835,0.0,0.0
1e-08,1e-10,0.04939773079114646,-5.96519341276664e-07,5.807626795907751e-09,True,3,12,9.37600139999995,5.81607678684648e-12,-8.802984721918185e-16
5e-09,5e-11,0.04939773079658374,-5.965193397505772e-07,7.867570091341383e-09,True,3,12,12.897120400011772,1.1253352416584761e-11,6.4578840101940085e-16
