step,raw_relative_derivative_mismatch,exterior_algebra_relative_derivative_mismatch
2e-06,1.6071530190715728e-07,9.919337294280121e-08
1e-06,1.913409002344998e-07,9.687426714995396e-08
5e-07,1.6153049496953142e-07,7.080796676952625e-08
2e-07,5.165569143752262e-07,4.175804024030165e-07
1e-07,7.810378655947732e-07,1.9053096066335283e-07
5e-08,1.0311445276088107e-06,3.3684540451981523e-07
