r_start,sigma_real,sigma_imag,quality_factor,relative_residual,converged,iterations,evaluations,elapsed_seconds,delta_real_vs_2e-4,delta_imag_vs_2e-4,fractional_damping_shift_vs_2e-4
5e-05,0.04939773078954368,-5.965193392835699e-07,41404.97007931982,1.8871096657435655e-08,True,3,12,7.478158700017957,4.213296378452469e-12,1.1127956754442047e-15,-1.8654813014189817e-09
0.0001,0.0493977307874146,-5.965193390821806e-07,41404.97009151385,9.404346934715287e-09,True,3,12,7.3036468999926,2.0842147452349025e-12,1.3141849584339662e-15,-2.203088599877982e-09
0.00015,0.04939773078435128,-5.965193387102404e-07,41404.97011476292,1.9551114392496047e-08,True,3,12,7.597775999980513,-9.791056854169256e-13,1.6861251723863284e-15,-2.8266060430931866e-09
0.0002,0.049397730785330385,-5.965193403963656e-07,41404.969998548055,4.1416514301266e-09,True,3,12,7.185803400003351,0.0,0.0,-0.0
0.0003,0.04939773078421134,-5.965193416109581e-07,41404.96991330407,4.702550859892076e-08,True,3,12,7.201456100010546,-1.1190423587770226e-12,-1.2145925185617001e-15,2.0361326721689314e-09
0.0008,0.04939773079307046,-5.965193387241202e-07,41404.97012110788,3.6534590852418394e-08,True,3,12,7.091430500004208,7.740072471840165e-12,1.6722453728752642e-15,-2.8033380640502245e-09
0.001,0.04939773078587222,-5.965193389961709e-07,41404.97009619106,2.097398955676689e-08,True,3,12,6.835242399974959,5.418374082744037e-13,1.4001946956014176e-15,-2.347274599128737e-09
0.0015,0.049397730785786645,-5.9651933998054e-07,41404.97002779334,5.600748762301067e-08,True,3,12,7.107201000006171,4.562600297575159e-13,4.1582552034519953e-16,-6.970864013711584e-10
0.002,0.04939773078488565,-5.965193400306898e-07,41404.97002355718,1.651482764323761e-08,True,3,12,7.035910300008254,-4.44734526983126e-13,3.656757700327062e-16,-6.130157821701604e-10
