a0_repository,phi_c_macedo_normalization,omega,adm_mass,r99,compactness99,nodeless,solver_status
0.25,0.17677669529663687,0.8617696679758076,0.6320783441067807,8.272128691954661,0.0764106033216734,True,0
0.252,0.17819090885900996,0.8609229979931079,0.6322493158977905,8.230681583681015,0.07681615543861546,True,0
0.254,0.17960512242138307,0.8600801962404638,0.6324019986791427,8.18960019231144,0.07722013087682282,True,0
0.256,0.18101933598375616,0.8592412578175939,0.6325366814749545,8.149443981837592,0.07761715803982075,True,0
0.258,0.18243354954612925,0.8584061791682895,0.6326536480801274,8.109597156204455,0.0780129562411247,True,0
0.26,0.18384776310850234,0.8575749567826637,0.6327531770442927,8.070047276368733,0.07840761712724584,True,0
0.262,0.18526197667087543,0.8567475871930691,0.6328355417764965,8.030916464020605,0.07879991587655902,True,0
0.264,0.18667619023324855,0.8559240670411535,0.6329010104532288,7.992576097055214,0.07918611005610755,True,0
0.266,0.18809040379562164,0.8551043929789489,0.6329498464904115,7.954489702620891,0.07957139554557015,True,0
0.268,0.18950461735799473,0.8542885617677021,0.6329823083015342,7.916646503781903,0.07995586363482933,True,0
0.27,0.19091883092036782,0.8534765702127695,0.632998649687027,7.879459357588253,0.08033528963854894,True,0
0.272,0.19233304448274094,0.8526684151600346,0.6329991198898965,7.842745497525035,0.080711419245933,True,0
0.27399999999999997,0.19374725804511397,0.8518640935665633,0.6329839635083834,7.806235501838689,0.08108696738130558,True,0
0.27599999999999997,0.1951614716074871,0.8510636023958762,0.6329534209396063,7.770086843248081,0.0814602762760135,True,0
0.27799999999999997,0.19657568516986018,0.8502669387226102,0.6329077281219916,7.734655625387643,0.08182752520287827,True,0
0.27999999999999997,0.19798989873223327,0.8494740996636081,0.6328471169221753,7.699391108398592,0.08219443693824799,True,0
0.282,0.19940411229460636,0.8486850823743238,0.6327718151468781,7.664295382701668,0.08256099009114987,True,0
0.284,0.20081832585697945,0.8478998841085258,0.6326820465086126,7.630060499452304,0.08291966316047263,True,0
0.286,0.20223253941935257,0.847118502181632,0.6325780308179271,7.595956557025972,0.08327825811915898,True,0
0.288,0.20364675298172566,0.8463409339334331,0.632459984164093,7.561977213777398,0.08363685399789288,True,0
0.29,0.20506096654409875,0.8455671767882256,0.6323281188955627,7.528799292512789,0.0839879102002889,True,0
